task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	5c/daa1ea	44282	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (d)	CACHED	0	2026-08-19 12:16:23.874	502ms	0ms	709.1%	12.3 MB	17.8 MB	12.2 MB	14.9 MB
6	93/a608aa	41268	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (f)	CACHED	0	2026-08-19 12:11:56.033	18.5s	0ms	401.9%	12.9 MB	17.8 MB	12.2 MB	14.9 MB
1	31/3522c9	44271	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (a)	CACHED	0	2026-08-19 12:16:23.866	472ms	0ms	507.6%	12.8 MB	17.8 MB	11.6 MB	13.1 MB
2	e9/cb65bd	41256	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (b1)	CACHED	0	2026-08-19 12:11:56.023	18.5s	0ms	310.6%	12.2 MB	17.8 MB	11.6 MB	13.2 MB
5	5e/b8de9b	41308	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (e)	CACHED	0	2026-08-19 12:11:56.044	18.5s	0ms	515.2%	12.7 MB	17.8 MB	11.6 MB	13 MB
3	38/26d4a7	41341	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (b2)	CACHED	0	2026-08-19 12:11:56.051	18.6s	0ms	316.8%	11.9 MB	17.5 MB	12 MB	14.4 MB
16	7f/6340ce	49446	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (a)	CACHED	0	2026-08-19 12:16:50.360	1.1s	1s	101.0%	4.5 MB	11 MB	8.8 MB	15.1 KB
11	66/dad894	48556	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (b2)	CACHED	0	2026-08-19 12:16:48.517	1.2s	1s	100.6%	4.5 MB	11 MB	9.8 MB	15.6 KB
13	6a/0506ac	442709	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRONFINDER (a)	CACHED	0	2026-08-19 15:31:57.496	6.6s	6s	167.9%	263.2 MB	3.2 GB	108 MB	12.9 MB
9	ac/f981f8	283201	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (b2)	CACHED	0	2026-08-19 13:04:34.013	4m 33s	4m 32s	397.4%	1.8 GB	4.6 GB	1.1 GB	33 MB
7	bc/797adb	404703	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRONFINDER (b2)	CACHED	0	2026-08-19 14:34:01.130	7.4s	7s	163.0%	275.8 MB	3.2 GB	110.9 MB	14.1 MB
12	17/070369	49708	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (a)	CACHED	0	2026-08-19 12:16:50.614	20s	20s	107.9%	115.9 MB	197.5 MB	30.2 MB	32.1 MB
8	8f/bbef39	87079	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (b2)	CACHED	0	2026-08-19 12:26:36.391	2m 32s	2m 32s	397.0%	14 GB	23.6 GB	717.1 MB	175.3 MB
31	6e/6d6c6f	208774	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRONFINDER (e)	CACHED	0	2026-08-19 12:54:17.874	35.5s	7s	170.1%	259.1 MB	3.2 GB	108 MB	12.9 MB
20	37/f48d3a	44300	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (f)	CACHED	0	2026-08-19 12:16:23.879	4m 50s	4m 11s	410.9%	1.8 GB	4.8 GB	1.1 GB	33.3 MB
19	ca/5b6f1c	212456	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRONFINDER (f)	CACHED	0	2026-08-19 12:54:53.335	25.5s	25s	117.8%	280.8 MB	3.2 GB	112.7 MB	14.7 MB
22	d0/036b04	445008	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRONFINDER (b1)	CACHED	0	2026-08-19 15:32:29.754	7.1s	7s	166.3%	264.6 MB	3.2 GB	108.4 MB	13.1 MB
30	6d/2a2aea	48961	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (e)	CACHED	0	2026-08-19 12:16:49.272	1.1s	1s	101.0%	4.6 MB	11 MB	8.8 MB	15.2 KB
17	40/dc27c8	44953	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (f)	CACHED	0	2026-08-19 12:16:24.345	26.3s	22s	107.4%	124.5 MB	220.7 MB	34.2 MB	36.4 MB
10	02/b65cc7	45000	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (b2)	CACHED	0	2026-08-19 12:16:24.379	24.9s	22s	107.7%	123.6 MB	346.5 MB	33.4 MB	35.5 MB
24	f8/977f5a	68392	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (b1)	CACHED	0	2026-08-19 12:21:13.845	8m 42s	8m 41s	235.0%	1.6 GB	4.4 GB	1018 MB	46.7 MB
23	bb/604985	67779	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (f)	CACHED	0	2026-08-19 12:21:11.144	2m 46s	2m 46s	399.2%	14 GB	23.2 GB	720.3 MB	176.2 MB
15	f0/4cc0bb	237045	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (a)	CACHED	0	2026-08-19 13:00:25.096	4m 9s	4m 8s	366.1%	1.6 GB	4.4 GB	999.5 MB	29.2 MB
28	15/b48e9c	49174	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (e)	CACHED	0	2026-08-19 12:16:49.705	19.7s	20s	108.0%	116.1 MB	205.3 MB	30.2 MB	31.9 MB
18	be/c3a335	45092	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (f)	CACHED	0	2026-08-19 12:16:24.998	1.2s	1s	99.7%	4.7 MB	11 MB	10.1 MB	15.5 KB
27	b6/f4ea3e	45306	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (b1)	CACHED	0	2026-08-19 12:16:26.217	22.3s	21s	107.3%	116.5 MB	198.2 MB	30.2 MB	32 MB
25	bf/84f699	55494	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (b1)	CACHED	0	2026-08-19 12:17:15.399	3m 56s	2m 44s	398.5%	14 GB	23.5 GB	693 MB	159 MB
21	3b/5c6308	44330	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (b1)	CACHED	0	2026-08-19 12:16:23.885	1.1s	0ms	100.9%	4.8 MB	11 MB	8.9 MB	15.9 KB
29	6a/be220d	78628	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (e)	CACHED	0	2026-08-19 12:23:57.438	2m 39s	2m 39s	400.5%	13.9 GB	23.1 GB	692.9 MB	159.8 MB
38	18/63a53a	50409	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (d)	CACHED	0	2026-08-19 12:16:52.728	22.7s	23s	107.7%	124.3 MB	220.7 MB	34.2 MB	36.4 MB
34	21/6ff3c3	405525	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMPOSITIONAL_OUTLIER_DETECTION:OUTLIER_FINDER (b2_100kb_contigs.1)	CACHED	0	2026-08-19 14:34:08.500	1m 29s	1m 11s	105.1%	144.1 MB	955.3 MB	12.4 MB	5.9 KB
33	b9/06cacc	445796	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (d)	CACHED	0	2026-08-19 15:32:36.880	4m 4s	4m 4s	410.3%	1.8 GB	4.8 GB	1.1 GB	33.3 MB
42	97/0a9d00	407188	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMPOSITIONAL_OUTLIER_DETECTION:OUTLIER_FINDER (e_100kb_contigs.1)	CACHED	0	2026-08-19 14:35:37.460	1m 18s	1m 18s	106.2%	361.6 MB	5.3 GB	16.3 MB	4.4 MB
14	2b/a4b961	93316	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (a)	CACHED	0	2026-08-19 12:29:08.484	2m 38s	2m 38s	402.5%	14 GB	23.5 GB	691.3 MB	158.6 MB
35	49/a787bb	419182	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMPOSITIONAL_OUTLIER_DETECTION:OUTLIER_FINDER (a_100kb_contigs.1)	CACHED	0	2026-08-19 14:39:45.486	1m 21s	1m 20s	103.5%	136.4 MB	947.3 MB	12 MB	6.8 KB
37	14/3cc99a	50038	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (d)	CACHED	0	2026-08-19 12:16:51.500	1.2s	1s	100.1%	4.6 MB	11 MB	10.1 MB	15.5 KB
32	79/86232a	443482	EBIMETAGENOMICS:MOBILOMEANNOTATION:INTEGRONFINDER (d)	CACHED	0	2026-08-19 15:32:04.085	25.7s	25s	118.2%	279 MB	3.2 GB	112.7 MB	14.7 MB
43	c4/754e8a	412341	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMPOSITIONAL_OUTLIER_DETECTION:OUTLIER_FINDER (d_100kb_contigs.1)	CACHED	0	2026-08-19 14:36:55.873	1m 31s	1m 31s	105.8%	387 MB	5.3 GB	17.6 MB	5 MB
41	4c/21fe65	417690	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMPOSITIONAL_OUTLIER_DETECTION:OUTLIER_FINDER (b1_100kb_contigs.1)	CACHED	0	2026-08-19 14:38:26.831	1m 19s	1m 18s	103.6%	136.6 MB	948 MB	12 MB	7.4 KB
39	0e/5987d4	53961	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (b2)	CACHED	0	2026-08-19 12:17:09.993	551ms	0ms	641.3%	13 MB	18.3 MB	10.5 MB	2 MB
36	45/2bb6f1	455520	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMPOSITIONAL_OUTLIER_DETECTION:OUTLIER_FINDER (f_100kb_contigs.1)	CACHED	0	2026-08-19 15:36:41.186	1m 31s	1m 31s	105.4%	384.9 MB	5.3 GB	17.6 MB	5 MB
44	b0/09f73b	193442	EBIMETAGENOMICS:MOBILOMEANNOTATION:CHECKV_ENDTOEND (b2)	CACHED	0	2026-08-19 12:44:54.168	15.1s	15s	469.5%	1.1 GB	19.2 GB	6.2 GB	30.8 MB
47	04/e869a1	54364	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (e)	CACHED	0	2026-08-19 12:17:10.628	563ms	1s	677.2%	13 MB	18.4 MB	10.4 MB	1.8 MB
