task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	31/3522c9	44271	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (a)	CACHED	0	2026-08-19 12:16:23.866	472ms	0ms	507.6%	12.8 MB	17.8 MB	11.6 MB	13.1 MB
2	e9/cb65bd	41256	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (b1)	CACHED	0	2026-08-19 12:11:56.023	18.5s	0ms	310.6%	12.2 MB	17.8 MB	11.6 MB	13.2 MB
4	5c/daa1ea	44282	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (d)	CACHED	0	2026-08-19 12:16:23.874	502ms	0ms	709.1%	12.3 MB	17.8 MB	12.2 MB	14.9 MB
6	93/a608aa	41268	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (f)	CACHED	0	2026-08-19 12:11:56.033	18.5s	0ms	401.9%	12.9 MB	17.8 MB	12.2 MB	14.9 MB
5	5e/b8de9b	41308	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (e)	CACHED	0	2026-08-19 12:11:56.044	18.5s	0ms	515.2%	12.7 MB	17.8 MB	11.6 MB	13 MB
3	38/26d4a7	41341	EBIMETAGENOMICS:MOBILOMEANNOTATION:RENAME (b2)	CACHED	0	2026-08-19 12:11:56.051	18.6s	0ms	316.8%	11.9 MB	17.5 MB	12 MB	14.4 MB
22	be/c3a335	45092	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (f)	CACHED	0	2026-08-19 12:16:24.998	1.2s	1s	99.7%	4.7 MB	11 MB	10.1 MB	15.5 KB
13	6d/2a2aea	48961	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (e)	CACHED	0	2026-08-19 12:16:49.272	1.1s	1s	101.0%	4.6 MB	11 MB	8.8 MB	15.2 KB
17	3b/5c6308	44330	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (b1)	CACHED	0	2026-08-19 12:16:23.885	1.1s	0ms	100.9%	4.8 MB	11 MB	8.9 MB	15.9 KB
11	14/3cc99a	50038	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (d)	CACHED	0	2026-08-19 12:16:51.500	1.2s	1s	100.1%	4.6 MB	11 MB	10.1 MB	15.5 KB
25	37/f48d3a	44300	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (f)	CACHED	0	2026-08-19 12:16:23.879	4m 50s	4m 11s	410.9%	1.8 GB	4.8 GB	1.1 GB	33.3 MB
24	f8/977f5a	68392	EBIMETAGENOMICS:MOBILOMEANNOTATION:ISESCAN (b1)	CACHED	0	2026-08-19 12:21:13.845	8m 42s	8m 41s	235.0%	1.6 GB	4.4 GB	1018 MB	46.7 MB
12	15/b48e9c	49174	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (e)	CACHED	0	2026-08-19 12:16:49.705	19.7s	20s	108.0%	116.1 MB	205.3 MB	30.2 MB	31.9 MB
21	40/dc27c8	44953	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (f)	CACHED	0	2026-08-19 12:16:24.345	26.3s	22s	107.4%	124.5 MB	220.7 MB	34.2 MB	36.4 MB
8	18/63a53a	50409	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (d)	CACHED	0	2026-08-19 12:16:52.728	22.7s	23s	107.7%	124.3 MB	220.7 MB	34.2 MB	36.4 MB
16	b6/f4ea3e	45306	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (b1)	CACHED	0	2026-08-19 12:16:26.217	22.3s	21s	107.3%	116.5 MB	198.2 MB	30.2 MB	32 MB
9	fe/3686c1	102434	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (d)	CACHED	0	2026-08-19 12:31:46.571	2m 46s	2m 45s	402.0%	14 GB	23.6 GB	720.3 MB	176.3 MB
18	bf/84f699	55494	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (b1)	CACHED	0	2026-08-19 12:17:15.399	3m 56s	2m 44s	398.5%	14 GB	23.5 GB	693 MB	159 MB
33	66/dad894	48556	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (b2)	CACHED	0	2026-08-19 12:16:48.517	1.2s	1s	100.6%	4.5 MB	11 MB	9.8 MB	15.6 KB
35	02/b65cc7	45000	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (b2)	CACHED	0	2026-08-19 12:16:24.379	24.9s	22s	107.7%	123.6 MB	346.5 MB	33.4 MB	35.5 MB
28	2b/a4b961	93316	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (a)	CACHED	0	2026-08-19 12:29:08.484	2m 38s	2m 38s	402.5%	14 GB	23.5 GB	691.3 MB	158.6 MB
34	8f/bbef39	87079	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (b2)	CACHED	0	2026-08-19 12:26:36.391	2m 32s	2m 32s	397.0%	14 GB	23.6 GB	717.1 MB	175.3 MB
20	bb/604985	67779	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (f)	CACHED	0	2026-08-19 12:21:11.144	2m 46s	2m 46s	399.2%	14 GB	23.2 GB	720.3 MB	176.2 MB
30	7f/6340ce	49446	EBIMETAGENOMICS:MOBILOMEANNOTATION:ARAGORN (a)	CACHED	0	2026-08-19 12:16:50.360	1.1s	1s	101.0%	4.5 MB	11 MB	8.8 MB	15.1 KB
44	bc/6efc41	54310	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (f)	CACHED	0	2026-08-19 12:17:10.549	540ms	0ms	670.6%	13.3 MB	18.4 MB	10.5 MB	2 MB
43	aa/8c1a9b	118684	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (d)	CACHED	0	2026-08-19 12:41:29.485	550ms	0ms	361.1%	13.1 MB	18.4 MB	10.5 MB	2 MB
46	23/4c6089	53611	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (b1)	CACHED	0	2026-08-19 12:17:09.447	541ms	0ms	614.8%	13.1 MB	18.4 MB	10.4 MB	1.8 MB
29	17/070369	49708	EBIMETAGENOMICS:MOBILOMEANNOTATION:PRODIGAL (a)	CACHED	0	2026-08-19 12:16:50.614	20s	20s	107.9%	115.9 MB	197.5 MB	30.2 MB	32.1 MB
45	04/e869a1	54364	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (e)	CACHED	0	2026-08-19 12:17:10.628	563ms	1s	677.2%	13 MB	18.4 MB	10.4 MB	1.8 MB
15	6a/be220d	78628	EBIMETAGENOMICS:MOBILOMEANNOTATION:GENOMAD (e)	CACHED	0	2026-08-19 12:23:57.438	2m 39s	2m 39s	400.5%	13.9 GB	23.1 GB	692.9 MB	159.8 MB
49	0e/5987d4	53961	EBIMETAGENOMICS:MOBILOMEANNOTATION:TRNAS_INTEGRATOR (b2)	CACHED	0	2026-08-19 12:17:09.993	551ms	0ms	641.3%	13 MB	18.3 MB	10.5 MB	2 MB
47	b0/09f73b	193442	EBIMETAGENOMICS:MOBILOMEANNOTATION:CHECKV_ENDTOEND (b2)	CACHED	0	2026-08-19 12:44:54.168	15.1s	15s	469.5%	1.1 GB	19.2 GB	6.2 GB	30.8 MB
50	09/62a791	189767	EBIMETAGENOMICS:MOBILOMEANNOTATION:CHECKV_ENDTOEND (b1)	CACHED	0	2026-08-19 12:44:43.232	10.9s	11s	422.9%	1.5 GB	19.2 GB	4.6 GB	23.1 MB
53	cd/02cc1e	183404	EBIMETAGENOMICS:MOBILOMEANNOTATION:CHECKV_ENDTOEND (e)	CACHED	0	2026-08-19 12:44:24.872	8.7s	8s	412.3%	1.4 GB	19 GB	3.8 GB	21 MB
